id,tx,ty,tz,qx,qy,qz,qw,t
229,-25569.072266,12370.861328,366.366516,-0.005274,0.003791,0.811972,0.583660,7.666667
230,-25547.164062,12500.328125,371.399139,-0.005231,0.003667,0.818849,0.573974,7.700000
231,-25524.369141,12639.823242,376.636078,-0.005183,0.003543,0.825521,0.564336,7.733333
232,-25501.039062,12788.250000,381.995575,-0.005129,0.003421,0.831939,0.554832,7.766667
233,-25477.531250,12944.511719,387.395935,-0.005072,0.003302,0.838056,0.545551,7.800000
234,-25454.201172,13107.512695,392.755432,-0.005011,0.003187,0.843826,0.536584,7.833333
235,-25431.404297,13276.154297,397.992371,-0.004950,0.003078,0.849211,0.528022,7.866667
236,-25409.498047,13449.341797,403.024994,-0.004888,0.002976,0.854172,0.519960,7.900000
237,-25388.835938,13625.979492,407.771606,-0.004828,0.002882,0.858674,0.512491,7.933333
238,-25369.773438,13804.966797,412.150482,-0.004771,0.002797,0.862685,0.505712,7.966667
239,-25352.669922,13985.210938,416.079865,-0.004719,0.002722,0.866171,0.499718,8.000000
240,-25337.876953,14165.615234,419.478088,-0.004672,0.002659,0.869102,0.494605,8.033333
241,-25325.753906,14345.079102,422.263367,-0.004634,0.002608,0.871444,0.490467,8.066667
242,-25316.652344,14522.510742,424.354065,-0.004604,0.002570,0.873164,0.487398,8.100000
243,-25310.931641,14696.811523,425.668396,-0.004586,0.002547,0.874226,0.485491,8.133333
244,-25308.945312,14866.885742,426.124664,-0.004579,0.002539,0.874590,0.484835,8.166667
245,-25313.435547,15036.041016,426.092224,-0.004579,0.002539,0.874593,0.484830,8.200000
246,-25326.722656,15208.230469,425.996307,-0.004579,0.002539,0.874601,0.484815,8.233333
247,-25348.537109,15383.326172,425.838928,-0.004580,0.002538,0.874614,0.484792,8.266667
248,-25378.607422,15561.196289,425.622162,-0.004580,0.002538,0.874631,0.484760,8.300000
249,-25416.662109,15741.712891,425.348022,-0.004580,0.002538,0.874653,0.484722,8.333333
250,-25462.427734,15924.745117,425.018585,-0.004580,0.002538,0.874677,0.484677,8.366667
251,-25515.636719,16110.164062,424.635895,-0.004580,0.002538,0.874705,0.484628,8.400000
252,-25576.015625,16297.839844,424.201996,-0.004580,0.002537,0.874734,0.484575,8.433333
253,-25643.291016,16487.642578,423.718964,-0.004580,0.002537,0.874765,0.484519,8.466667
254,-25717.195312,16679.443359,423.188782,-0.004580,0.002537,0.874798,0.484460,8.500000
255,-25797.455078,16873.111328,422.613556,-0.004581,0.002536,0.874831,0.484401,8.533333
256,-25883.800781,17068.517578,421.995300,-0.004581,0.002536,0.874864,0.484341,8.566667
257,-25975.957031,17265.531250,421.336121,-0.004581,0.002536,0.874896,0.484282,8.600000
258,-26073.658203,17464.025391,420.637970,-0.004581,0.002535,0.874928,0.484225,8.633333
259,-26176.626953,17663.867188,419.902985,-0.004581,0.002535,0.874958,0.484171,8.666667
260,-26284.595703,17864.929688,419.133179,-0.004581,0.002535,0.874986,0.484120,8.700000
261,-26397.292969,18067.082031,418.330597,-0.004582,0.002535,0.875012,0.484073,8.733333
262,-26514.445312,18270.193359,417.497284,-0.004582,0.002534,0.875034,0.484033,8.766667
263,-26635.783203,18474.134766,416.635284,-0.004582,0.002534,0.875053,0.483999,8.800000
264,-26761.035156,18678.777344,415.746674,-0.004582,0.002534,0.875068,0.483972,8.833333
265,-26889.927734,18883.992188,414.833466,-0.004582,0.002534,0.875078,0.483954,8.866667
266,-27022.193359,19089.648438,413.897736,-0.004582,0.002534,0.875083,0.483945,8.900000
267,-27157.558594,19295.613281,412.941528,-0.004582,0.002534,0.875082,0.483946,8.933333
268,-27295.750000,19501.763672,411.966888,-0.004582,0.002534,0.875075,0.483959,8.966667
269,-27436.498047,19707.966797,410.975861,-0.004582,0.002534,0.875061,0.483984,9.000000
270,-27579.533203,19914.089844,409.970490,-0.004582,0.002534,0.875040,0.484022,9.033333
271,-27724.582031,20120.007812,408.952850,-0.004582,0.002535,0.875011,0.484074,9.066667
272,-27871.373047,20325.589844,407.924927,-0.004581,0.002535,0.874974,0.484141,9.100000
273,-28019.634766,20530.703125,406.888855,-0.004581,0.002535,0.874928,0.484225,9.133333
274,-28169.097656,20735.222656,405.846619,-0.004581,0.002536,0.874872,0.484325,9.166667
275,-28319.488281,20939.015625,404.800293,-0.004581,0.002537,0.874807,0.484444,9.200000
276,-28470.535156,21141.953125,403.751892,-0.004580,0.002537,0.874731,0.484581,9.233333
277,-28621.970703,21343.906250,402.703491,-0.004580,0.002538,0.874644,0.484738,9.266667
278,-28773.517578,21544.746094,401.657196,-0.004579,0.002539,0.874545,0.484916,9.300000
279,-28924.910156,21744.337891,400.614929,-0.004579,0.002540,0.874434,0.485116,9.333333
280,-29075.873047,21942.558594,399.578857,-0.004578,0.002541,0.874311,0.485338,9.366667
281,-29226.136719,22139.275391,398.550934,-0.004577,0.002543,0.874174,0.485585,9.400000
282,-29375.429688,22334.359375,397.533295,-0.004576,0.002544,0.874024,0.485855,9.433333
283,-29523.478516,22527.679688,396.527924,-0.004576,0.002546,0.873859,0.486152,9.466667
284,-29670.015625,22719.107422,395.536896,-0.004575,0.002547,0.873679,0.486474,9.500000
285,-29814.765625,22908.513672,394.562225,-0.004574,0.002549,0.873484,0.486824,9.533333
286,-29957.460938,23095.765625,393.606049,-0.004572,0.002551,0.873273,0.487203,9.566667
287,-30097.828125,23280.738281,392.670288,-0.004571,0.002553,0.873045,0.487611,9.600000
288,-30235.593750,23463.298828,391.757111,-0.004570,0.002555,0.872801,0.488049,9.633333
289,-30370.494141,23643.320312,390.868500,-0.004569,0.002558,0.872538,0.488518,9.666667
290,-30502.248047,23820.667969,390.006500,-0.004567,0.002561,0.872257,0.489019,9.700000
291,-30630.589844,23995.216797,389.173187,-0.004566,0.002563,0.871958,0.489553,9.733333
292,-30755.248047,24166.835938,388.370605,-0.004564,0.002566,0.871638,0.490121,9.766667
293,-30875.947266,24335.394531,387.600800,-0.004562,0.002569,0.871299,0.490724,9.800000
294,-30992.421875,24500.763672,386.865814,-0.004560,0.002573,0.870939,0.491363,9.833333
295,-31104.396484,24662.816406,386.167694,-0.004558,0.002576,0.870558,0.492038,9.866667
296,-31211.601562,24821.417969,385.508484,-0.004556,0.002580,0.870155,0.492751,9.900000
297,-31313.763672,24976.441406,384.890228,-0.004554,0.002584,0.869729,0.493502,9.933333
